order_id,day_id,missing_information,inserted_at,updated_at,order_items
1p8gwci41zpsqr3,121,False,2025-09-18 07:24:31.186Z,2025-09-18 07:32:33.618Z,"[{""order_item_id"":""h0gbabzpgdco9de"",""item_id"":""fpj4exydv7pnw8j"",""item_name"":""Karamell Frappe"",""customizations"":[{""customization_id"":""c38phupyrvad091"",""key"":""Kopp"",""value"":""Egen""}]}]"
1qcmudhur7njlao,134,False,2025-09-23 10:02:48.146Z,2025-09-23 10:19:01.993Z,"[{""order_item_id"":""yen4rig856sj103"",""item_id"":""e4s89pfkij3inth"",""item_name"":""Varm Sjokolade m/krem"",""customizations"":[]}]"
1qvqjwag8uu5pcg,168,False,2025-09-22 10:07:13.549Z,2025-09-22 10:14:59.583Z,"[{""order_item_id"":""0hyggpqay89vhfv"",""item_id"":""cc2el8aic3uf906"",""item_name"":""Islatte"",""customizations"":[{""customization_id"":""oq1tjsm206inogo"",""key"":""Smak"",""value"":""Salt karamell""}]}]"
1r6f88fhjeq1ot2,0,False,2025-09-09 08:52:43.061Z,2025-09-15 10:12:02.197Z,"[{""order_item_id"":""lzt4l9twvvd2dmy"",""item_id"":""fpj4exydv7pnw8j"",""item_name"":""Karamell Frappe"",""customizations"":[{""customization_id"":""a8unsgyqyjm57fi"",""key"":""Kopp"",""value"":""Egen""}]}]"
1uacy65tlmjgtrz,120,False,2025-09-15 08:28:40.330Z,2025-09-15 10:12:03.359Z,"[{""order_item_id"":""xecfunko54le00t"",""item_id"":""nt3ioawktdf5t4e"",""item_name"":""Mocca"",""customizations"":[{""customization_id"":""8loeyccvujmksmh"",""key"":""Kopp"",""value"":""Egen""}]}]"
1yjirt6yy5dlhtj,128,False,2025-09-15 08:32:21.954Z,2025-09-15 10:12:02.887Z,"[{""order_item_id"":""vpsnlco1y9z1c42"",""item_id"":""cc2el8aic3uf906"",""item_name"":""Islatte"",""customizations"":[{""customization_id"":""npvjsr4owvh6ysn"",""key"":""Kopp"",""value"":""Egen""},{""customization_id"":""mv0y0mnc3smcdd8"",""key"":""Smak"",""value"":""Vanilje""}]}]"
1yoy2h2flej42do,211,False,2025-09-16 09:41:00.682Z,2025-09-16 09:57:16.670Z,"[{""order_item_id"":""22brkup8uduhtfn"",""item_id"":""cc2el8aic3uf906"",""item_name"":""Islatte"",""customizations"":[{""customization_id"":""5kaqg8o2gfr59ma"",""key"":""Ekstra"",""value"":""Espresso""},{""customization_id"":""tupu4y4tsw61g7k"",""key"":""Smak"",""value"":""Vanilje""},{""customization_id"":""xv41g2cyvb8ytd8"",""key"":""Kopp"",""value"":""Stor""}]}]"
20uz8vz2tzi2ica,0,False,2025-09-08 07:26:52.986Z,2025-09-15 10:12:01.751Z,"[{""order_item_id"":""g38fjyzldnj9ild"",""item_id"":""3lcgplzn9do9zi3"",""item_name"":""Varm sjokolade u/krem"",""customizations"":[]}]"
2115v3ybt32r683,0,False,2025-09-08 07:04:33.932Z,2025-09-15 10:12:01.524Z,"[{""order_item_id"":""lheo0qubmr4etzt"",""item_id"":""sgu9ochsi20u0q6"",""item_name"":""Latte"",""customizations"":[{""customization_id"":""e4yw46f7a5y0rjo"",""key"":""Smak"",""value"":""Salt karamell""},{""customization_id"":""zbisnd9qyg33fjv"",""key"":""Kopp"",""value"":""Stor""}]}]"
22tcmsem7cx7m3u,106,False,2025-09-25 08:34:57.804Z,2025-09-25 08:43:22.526Z,"[{""order_item_id"":""i48dvwhgd6029yf"",""item_id"":""sgu9ochsi20u0q6"",""item_name"":""Latte"",""customizations"":[{""customization_id"":""9wq38cfoezeikfr"",""key"":""Smak"",""value"":""Salt karamell""},{""customization_id"":""puaxg6400ppxas3"",""key"":""Ekstra"",""value"":""Krem""}]}]"
26rub6b9gvlj1i7,137,False,2025-09-23 10:05:56.283Z,2025-09-23 10:19:07.384Z,"[{""order_item_id"":""tzmdxs1jv6gvogc"",""item_id"":""cc2el8aic3uf906"",""item_name"":""Islatte"",""customizations"":[{""customization_id"":""1g8z0n0lnt4aq6n"",""key"":""Smak"",""value"":""Vanilje""},{""customization_id"":""v5ykel8i1utig7a"",""key"":""Melk"",""value"":""Havre""}]}]"
2bxdghqfl5l072k,110,False,2025-09-23 08:39:13.995Z,2025-09-23 08:46:38.673Z,"[{""order_item_id"":""jhnm1vqg38s9d07"",""item_id"":""fpj4exydv7pnw8j"",""item_name"":""Karamell Frappe"",""customizations"":[{""customization_id"":""aiosl32e8k3a5pj"",""key"":""Kopp"",""value"":""Egen""},{""customization_id"":""a79tqu537o5syqq"",""key"":""Annet"",""value"":""Klippekort""}]}]"
2cz3v22evllmgoy,130,False,2025-09-15 08:34:04.880Z,2025-09-15 10:12:02.636Z,"[{""order_item_id"":""thzz4nkxj88fvit"",""item_id"":""sgu9ochsi20u0q6"",""item_name"":""Latte"",""customizations"":[{""customization_id"":""2b0uh6u37d97mvf"",""key"":""Smak"",""value"":""Salt karamell""},{""customization_id"":""4kd4hbhkxtkm64s"",""key"":""Melk"",""value"":""Havre""}]}]"
2d6wffa6m9ii310,0,True,2025-09-10 08:48:02.658Z,2025-09-15 10:12:02.713Z,"[{""order_item_id"":""izi09y01o9xa0m7"",""item_id"":""fpj4exydv7pnw8j"",""item_name"":""Karamell Frappe"",""customizations"":[{""customization_id"":""07cqte2qm9xmeq3"",""key"":""Smak"",""value"":""Salt karamell""},{""customization_id"":""igv8dlfipvlic43"",""key"":""Ekstra"",""value"":""Sirup""}]}]"
2dpopgb9z60zzwn,0,False,2025-09-09 08:50:22.606Z,2025-09-15 10:12:02.262Z,"[{""order_item_id"":""356p1i6duwr8sv2"",""item_id"":""3lcgplzn9do9zi3"",""item_name"":""Varm sjokolade u/krem"",""customizations"":[]}]"
2gu3mv7td07d05y,119,False,2025-09-22 08:28:40.801Z,2025-09-22 08:34:26.637Z,"[{""order_item_id"":""i8pm5zmdcy4yrxd"",""item_id"":""cc2el8aic3uf906"",""item_name"":""Islatte"",""customizations"":[{""customization_id"":""9zpg1bakf0e7pgj"",""key"":""Smak"",""value"":""Vanilje""}]}]"
2gv6bv4x3t5gjtf,106,False,2025-09-15 08:12:34.038Z,2025-09-15 10:12:03.182Z,"[{""order_item_id"":""coiszudvq3lrc4g"",""item_id"":""cc2el8aic3uf906"",""item_name"":""Islatte"",""customizations"":[{""customization_id"":""5398bvo4j8a2h7g"",""key"":""Smak"",""value"":""Salt karamell""},{""customization_id"":""ncuov030hvayyz2"",""key"":""Ekstra"",""value"":""Espresso""}]}]"
2ixiaaf1wj8tbhf,0,False,2025-09-09 08:11:15.561Z,2025-09-15 10:12:02.273Z,"[{""order_item_id"":""g685pmwh7371wey"",""item_id"":""sgu9ochsi20u0q6"",""item_name"":""Latte"",""customizations"":[{""customization_id"":""93bhklju922s8mw"",""key"":""Melk"",""value"":""Havre""}]}]"
2nuwsdjwxtde53d,158,False,2025-09-22 09:53:51.726Z,2025-09-22 10:15:06.327Z,"[{""order_item_id"":""6bn1aq9iii38shw"",""item_id"":""fpj4exydv7pnw8j"",""item_name"":""Karamell Frappe"",""customizations"":[]}]"
2s62oitfwurrlsn,0,False,2025-09-09 10:06:41.713Z,2025-09-15 10:12:02.450Z,"[{""order_item_id"":""39xin5axe5n05y7"",""item_id"":""cc2el8aic3uf906"",""item_name"":""Islatte"",""customizations"":[{""customization_id"":""b8ik743tqi42b9q"",""key"":""Smak"",""value"":""Vanilje""},{""customization_id"":""iark9om3qphf350"",""key"":""Kopp"",""value"":""Egen""},{""customization_id"":""5zik749kx07inil"",""key"":""Annet"",""value"":""Klippekort""}]}]"
2tw405kso1j5xu6,202,False,2025-09-16 09:00:25.743Z,2025-09-16 09:10:01.417Z,"[{""order_item_id"":""z0jc0sly0bfu966"",""item_id"":""sgu9ochsi20u0q6"",""item_name"":""Latte"",""customizations"":[{""customization_id"":""44fuezpkdpoq5cl"",""key"":""Smak"",""value"":""Salt karamell""},{""customization_id"":""iopmct1giwqejdw"",""key"":""Kopp"",""value"":""Egen""},{""customization_id"":""dk53k6nz4c44ud1"",""key"":""Annet"",""value"":""Klippekort""}]}]"
2vq99djfg68wt3q,161,False,2025-09-22 09:58:41.952Z,2025-09-22 10:15:04.822Z,"[{""order_item_id"":""y3jobkq4lkftp3l"",""item_id"":""fpj4exydv7pnw8j"",""item_name"":""Karamell Frappe"",""customizations"":[]}]"
2vx41ruo2th8ac0,137,False,2025-09-25 09:47:56.008Z,2025-09-25 09:58:56.971Z,"[{""order_item_id"":""5r7ig22foxft178"",""item_id"":""btppdqik1t85orf"",""item_name"":""Cappuccino"",""customizations"":[]}]"
2y6z6ug1w6dnzbj,196,False,2025-09-16 08:55:18.108Z,2025-09-16 09:04:29.132Z,"[{""order_item_id"":""ueb9ytcki5tc042"",""item_id"":""sgu9ochsi20u0q6"",""item_name"":""Latte"",""customizations"":[]}]"
31f9hnx4u2vztdf,0,False,2025-09-08 07:31:43.779Z,2025-09-15 10:12:01.761Z,"[{""order_item_id"":""msxoptmwqlmgwhw"",""item_id"":""cc2el8aic3uf906"",""item_name"":""Islatte"",""customizations"":[{""customization_id"":""bhev44mrno3e7f6"",""key"":""Smak"",""value"":""Salt karamell""}]}]"
3arfvu23i44s43g,135,False,2025-09-25 09:47:03.574Z,2025-09-25 09:53:51.281Z,"[{""order_item_id"":""tiz4u32mpih6apw"",""item_id"":""e4s89pfkij3inth"",""item_name"":""Varm Sjokolade m/krem"",""customizations"":[]}]"
3bu393dy5ijjl6q,136,False,2025-09-15 09:34:09.894Z,2025-09-15 10:12:03.564Z,"[{""order_item_id"":""8kyij5qqn0tscs3"",""item_id"":""sgu9ochsi20u0q6"",""item_name"":""Latte"",""customizations"":[{""customization_id"":""oxphg1gb0nnx1zw"",""key"":""Smak"",""value"":""Salt karamell""}]}]"
3dcxtk9bze2r2n8,139,False,2025-09-22 09:40:16.953Z,2025-09-22 09:47:23.901Z,"[{""order_item_id"":""unk47l9cumvbak2"",""item_id"":""cc2el8aic3uf906"",""item_name"":""Islatte"",""customizations"":[{""customization_id"":""yekvjv2u9j3zudp"",""key"":""Smak"",""value"":""Salt karamell""}]}]"
3e76h73w3hpxr6t,157,False,2025-09-23 10:21:23.657Z,2025-09-23 10:24:41.522Z,"[{""order_item_id"":""iurgv22oyqzqskd"",""item_id"":""fpj4exydv7pnw8j"",""item_name"":""Karamell Frappe"",""customizations"":[]}]"
3et4v5y6jlcel4i,231,False,2025-09-16 10:19:29.947Z,2025-09-16 10:27:23.910Z,"[{""order_item_id"":""drz9jqh0deqyv1c"",""item_id"":""fpj4exydv7pnw8j"",""item_name"":""Karamell Frappe"",""customizations"":[]}]"
3f9ko2eesvvsu8h,0,False,2025-09-08 08:26:59.192Z,2025-09-15 10:12:01.847Z,"[{""order_item_id"":""zwv08xc2en2alnc"",""item_id"":""3lcgplzn9do9zi3"",""item_name"":""Varm sjokolade u/krem"",""customizations"":[]},{""order_item_id"":""s0z1ncsrkaw0dd6"",""item_id"":""3lcgplzn9do9zi3"",""item_name"":""Varm sjokolade u/krem"",""customizations"":[{""customization_id"":""n7347yvhpo6u8rz"",""key"":""Melk"",""value"":""Laktosefri""}]}]"
3jlxtz9pg3kox3r,205,False,2025-09-16 09:18:16.136Z,2025-09-16 09:30:09.201Z,"[{""order_item_id"":""hk2b9x78ql1powi"",""item_id"":""fpj4exydv7pnw8j"",""item_name"":""Karamell Frappe"",""customizations"":[]}]"
3k85f18s3oanyz4,115,False,2025-09-15 08:25:03.563Z,2025-09-15 10:12:03.336Z,"[{""order_item_id"":""2aonyw3dlmoqq79"",""item_id"":""cc2el8aic3uf906"",""item_name"":""Islatte"",""customizations"":[{""customization_id"":""b4wx7hq5lm8xwlv"",""key"":""Smak"",""value"":""Salt karamell""}]}]"
3nkbh4x45rctjq9,106,False,2025-09-18 07:12:17.848Z,2025-09-18 07:32:40.547Z,"[{""order_item_id"":""q2lrtbf16c094ll"",""item_id"":""cc2el8aic3uf906"",""item_name"":""Islatte"",""customizations"":[{""customization_id"":""8naips7zg2qc08x"",""key"":""Smak"",""value"":""Salt karamell""},{""customization_id"":""g8og7fmpjlscwr1"",""key"":""Kopp"",""value"":""Egen""}]}]"
3o1gvlu3nzem1f6,173,False,2025-09-15 10:11:22.294Z,2025-09-15 10:12:03.532Z,"[{""order_item_id"":""1u5b666o6ut8iwx"",""item_id"":""0vnkdn968vq64f4"",""item_name"":""Chai Latte"",""customizations"":[{""customization_id"":""5ws26q4toto69d9"",""key"":""Melk"",""value"":""Lett""}]}]"
3p0an1qijzln811,119,False,2025-09-23 08:48:16.129Z,2025-09-23 09:00:55.689Z,"[{""order_item_id"":""6jgtiqyjtwb2udn"",""item_id"":""qxbwk37iqt9hwgp"",""item_name"":""Is Matcha"",""customizations"":[{""customization_id"":""w4p7y6zls2lvvag"",""key"":""Smak"",""value"":""Vanilje""},{""customization_id"":""zec47rqjijolyoo"",""key"":""Kopp"",""value"":""Egen""},{""customization_id"":""l7tvvpu7gbaega3"",""key"":""Annet"",""value"":""Klippekort""}]}]"
3qpor17w6bztwp7,0,False,2025-09-08 08:43:57.369Z,2025-09-15 10:12:01.984Z,"[{""order_item_id"":""sxxr2vqcw9ggzjw"",""item_id"":""wgzuvbn0647asw1"",""item_name"":""Americano"",""customizations"":[]}]"
