order_id,inserted_at,updated_at,item_name,price_nok,category_name,customization_key,customization_value,price_increment_nok,constant_price
si0pf3jbi3x65r1,2025-09-09 08:00:12.344Z,2025-09-09 08:00:12.638Z,Cappuccino,10,Varm drikke,Kopp,Stor,20,1
g685pmwh7371wey,2025-09-09 08:11:15.118Z,2025-09-09 08:11:15.408Z,Latte,10,Varm drikke,Melk,Havre,0,1
6ex476s905axpn0,2025-09-09 08:19:27.480Z,2025-09-09 08:19:27.774Z,Mocca,10,Varm drikke,Smak,Salt karamell,0,1
cc3abb6jqvqoy3c,2025-09-09 08:23:19.684Z,2025-09-09 08:23:20.017Z,Latte,10,Varm drikke,Smak,Vanilje,0,1
cc3abb6jqvqoy3c,2025-09-09 08:23:19.684Z,2025-09-09 08:23:20.017Z,Latte,10,Varm drikke,Kopp,Stor,20,1
cc3abb6jqvqoy3c,2025-09-09 08:23:19.684Z,2025-09-09 08:23:20.017Z,Latte,10,Varm drikke,Annet,Bursdag,0,0
jngqlm6cqk1l4f9,2025-09-09 08:38:09.350Z,2025-09-09 08:38:09.643Z,Mocca,10,Varm drikke,Kopp,Stor,20,1
1aourojtb8ps9vr,2025-09-09 08:42:38.965Z,2025-09-09 08:42:39.285Z,Is Americano,10,Kald drikke,Ekstra,Espresso,5,1
rqnb0nxpqvr2zw9,2025-09-09 08:45:10.935Z,2025-09-09 08:45:11.231Z,Islatte,10,Kald drikke,Smak,Vanilje,0,1
ito8kdmt0o8vkp0,2025-09-09 08:51:36.694Z,2025-09-09 08:51:37.022Z,Latte,10,Varm drikke,Smak,Salt karamell,0,1
ito8kdmt0o8vkp0,2025-09-09 08:51:36.694Z,2025-09-09 08:51:37.022Z,Latte,10,Varm drikke,Kopp,Egen,0,1
ito8kdmt0o8vkp0,2025-09-09 08:51:36.694Z,2025-09-09 08:51:37.022Z,Latte,10,Varm drikke,Annet,Klippekort,0,0
lzt4l9twvvd2dmy,2025-09-09 08:52:42.587Z,2025-09-09 08:52:42.900Z,Karamell Frappe,15,Kald drikke,Kopp,Egen,0,1
5ru1t40ghofkhkr,2025-09-09 08:53:13.706Z,2025-09-09 08:53:14.003Z,Islatte,10,Kald drikke,Smak,Vanilje,0,1
5ru1t40ghofkhkr,2025-09-09 08:53:13.706Z,2025-09-09 08:53:14.003Z,Islatte,10,Kald drikke,Kopp,Egen,0,1
5ru1t40ghofkhkr,2025-09-09 08:53:13.706Z,2025-09-09 08:53:14.003Z,Islatte,10,Kald drikke,Annet,Klippekort,0,0
6631utbkxn8hcs9,2025-09-09 08:53:53.262Z,2025-09-09 08:53:53.563Z,Mocca,10,Varm drikke,Kopp,Stor,20,1
oqc8kf7c0dj6r00,2025-09-09 08:57:20.714Z,2025-09-09 08:57:21.010Z,Latte,10,Varm drikke,Kopp,Egen,0,1
oqc8kf7c0dj6r00,2025-09-09 08:57:20.714Z,2025-09-09 08:57:21.010Z,Latte,10,Varm drikke,Ekstra,Espresso,5,1
mfjr8s9asdu319b,2025-09-09 08:59:02.559Z,2025-09-09 08:59:02.850Z,Cortado,10,Varm drikke,Kopp,Liten,10,1
8l52xoaz0khxpo8,2025-09-09 09:02:22.049Z,2025-09-09 09:02:22.363Z,Latte,10,Varm drikke,Kopp,Egen,0,1
8l52xoaz0khxpo8,2025-09-09 09:02:22.049Z,2025-09-09 09:02:22.363Z,Latte,10,Varm drikke,Annet,Klippekort,0,0
0qpmey4n2dtu4so,2025-09-09 09:19:30.242Z,2025-09-09 09:19:30.544Z,Latte,10,Varm drikke,Smak,Vanilje,0,1
0qpmey4n2dtu4so,2025-09-09 09:19:30.242Z,2025-09-09 09:19:30.544Z,Latte,10,Varm drikke,Ekstra,Espresso,5,1
0qpmey4n2dtu4so,2025-09-09 09:19:30.242Z,2025-09-09 09:19:30.544Z,Latte,10,Varm drikke,Kopp,Egen,0,1
55fbnqevkx9v6h8,2025-09-09 09:37:16.731Z,2025-09-09 09:37:17.055Z,Latte,10,Varm drikke,Smak,Salt karamell,0,1
55fbnqevkx9v6h8,2025-09-09 09:37:16.731Z,2025-09-09 09:37:17.055Z,Latte,10,Varm drikke,Kopp,Egen,0,1
55fbnqevkx9v6h8,2025-09-09 09:37:16.731Z,2025-09-09 09:37:17.055Z,Latte,10,Varm drikke,Annet,Klippekort,0,0
bzl39rby3123t27,2025-09-09 09:38:51.811Z,2025-09-09 09:38:52.108Z,Is Matcha,10,Kald drikke,Smak,Vanilje,0,1
bzl39rby3123t27,2025-09-09 09:38:51.811Z,2025-09-09 09:38:52.108Z,Is Matcha,10,Kald drikke,Annet,Klippekort,0,0
bzl39rby3123t27,2025-09-09 09:38:51.811Z,2025-09-09 09:38:52.108Z,Is Matcha,10,Kald drikke,Kopp,Egen,0,1
xhvq4o7b6mngi9n,2025-09-09 09:41:14.853Z,2025-09-09 09:41:15.155Z,Islatte,10,Kald drikke,Ekstra,Espresso,5,1
xhvq4o7b6mngi9n,2025-09-09 09:41:14.853Z,2025-09-09 09:41:15.155Z,Islatte,10,Kald drikke,Kopp,Egen,0,1
xhvq4o7b6mngi9n,2025-09-09 09:41:14.853Z,2025-09-09 09:41:15.155Z,Islatte,10,Kald drikke,Melk,Havre,0,1
qzeuk4pm4xsarcl,2025-09-09 09:41:50.350Z,2025-09-09 09:41:50.635Z,Islatte,10,Kald drikke,Smak,Salt karamell,0,1
4tf5huy9v6hqlgy,2025-09-09 09:42:34.087Z,2025-09-09 09:42:34.390Z,Chai Latte,10,Varm drikke,Kopp,Egen,0,1
4tf5huy9v6hqlgy,2025-09-09 09:42:34.087Z,2025-09-09 09:42:34.390Z,Chai Latte,10,Varm drikke,Annet,Klippekort,0,0
32xaa8eadewuart,2025-09-09 09:45:02.631Z,2025-09-09 09:45:02.933Z,Islatte,10,Kald drikke,Smak,Salt karamell,0,1
32xaa8eadewuart,2025-09-09 09:45:02.631Z,2025-09-09 09:45:02.933Z,Islatte,10,Kald drikke,Kopp,Egen,0,1
u7mvg7e3ksz2n1g,2025-09-09 09:46:02.920Z,2025-09-09 09:46:03.223Z,Latte,10,Varm drikke,Melk,Havre,0,1
u7mvg7e3ksz2n1g,2025-09-09 09:46:02.920Z,2025-09-09 09:46:03.223Z,Latte,10,Varm drikke,Kopp,Egen,0,1
u7mvg7e3ksz2n1g,2025-09-09 09:46:02.920Z,2025-09-09 09:46:03.223Z,Latte,10,Varm drikke,Annet,Klippekort,0,0
72onabk0hmsxbyy,2025-09-09 09:54:27.718Z,2025-09-09 09:54:28.344Z,Latte,10,Varm drikke,Smak,Vanilje,0,1
9jkcdbag5vv1msx,2025-09-09 10:01:35.609Z,2025-09-09 10:01:35.922Z,Karamell Frappe,15,Kald drikke,Kopp,Egen,0,1
gudrdgfxmoskclo,2025-09-09 10:02:05.863Z,2025-09-09 10:02:06.168Z,Varm Sjokolade m/krem,10,Varm drikke,Kopp,Egen,0,1
qx39gn568wgkn6b,2025-09-09 10:02:55.763Z,2025-09-09 10:02:56.069Z,Varm Sjokolade m/krem,10,Varm drikke,Kopp,Egen,0,1
