Tid;Spenning
0.07;0.0
0.07050000000000001;0.0
0.07100000000000001;0.0
0.07150000000000001;0.0
0.07200000000000001;0.0
0.07250000000000001;0.0
0.07300000000000001;0.01
0.07350000000000001;0.0
0.07400000000000001;0.0
0.07450000000000001;0.0
0.07500000000000001;0.0
0.07550000000000001;0.0
0.076;0.0
0.0765;0.0
0.077;0.0
0.0775;0.0
0.078;0.0
0.0785;0.000477
0.079;0.0
0.0795;0.0
0.08;0.0
0.0805;0.0
0.081;0.0
0.0815;0.0
0.082;0.0
0.0825;0.0
0.083;0.01
0.0835;0.0
0.084;0.0
0.0845;0.0
0.08499999999999999;0.0
0.08549999999999999;0.0
0.086;0.0
0.0865;0.0
0.087;0.000973
0.0875;0.0
0.088;0.0
0.0885;0.0
0.089;0.01
0.0895;0.0
0.09;0.0
0.0905;0.0
0.091;0.0
0.0915;0.0
0.092;0.0
0.0925;0.0
0.093;0.0
0.0935;0.0
0.094;0.0
0.0945;0.0
0.095;0.0
0.0955;0.0
0.096;0.0
0.0965;0.0
0.097;0.0
0.0975;0.0
0.098;0.0
0.0985;0.0
0.099;0.0
0.0995;0.0
0.1;0.0
0.1005;0.0
0.101;0.0
0.1015;0.0
0.10200000000000001;0.0
0.10250000000000001;0.0
0.10300000000000001;0.0
0.10350000000000001;0.0
0.10400000000000001;0.0
0.10450000000000001;0.0
0.10500000000000001;0.0
0.10550000000000001;0.0
0.106;0.000973
0.1065;0.0
0.107;0.0
0.1075;0.0
0.108;0.0
0.1085;0.0
0.109;0.01
0.1095;0.0
0.11;0.000477
0.1105;0.0
0.111;0.0
0.1115;0.0
0.112;0.0
0.1125;0.0
0.113;0.0
0.1135;0.000973
0.114;0.0
0.1145;0.0
0.11499999999999999;0.0
0.11549999999999999;0.0
0.11599999999999999;0.0
0.11649999999999999;0.0
0.11699999999999999;0.0
0.1175;0.0
0.118;0.0
0.1185;0.0
0.119;0.0
0.1195;0.0
0.12;0.000973
0.1205;0.0
0.121;0.000973
0.1215;0.0
0.122;0.0
0.1225;0.0
0.123;0.0
0.1235;0.0
0.124;0.0
0.1245;0.0
0.125;0.0
0.1255;0.0
0.126;0.0
0.1265;0.0
0.127;0.000973
0.1275;0.0
0.128;0.0
0.1285;0.0
0.129;0.0
0.1295;0.0
0.13;0.0
0.1305;0.0
0.131;0.0
0.1315;0.0
0.132;0.0
0.1325;0.0
0.133;0.0
0.1335;0.000973
0.134;0.0
0.1345;0.0
0.135;0.0
0.1355;0.0
0.136;0.0
0.1365;0.0
0.137;0.0
0.1375;0.01
0.138;0.0
0.1385;0.000973
0.139;0.0
0.1395;0.0
0.14;0.0
0.1405;0.0
0.14100000000000001;-0.000496
0.14150000000000001;0.0
0.14200000000000002;0.0
0.14250000000000002;0.0
0.14300000000000002;0.0
0.14350000000000002;0.0
0.14400000000000002;0.0
0.14450000000000002;0.0
0.14500000000000002;0.0
0.1455;0.0
0.146;0.0
0.1465;0.0
0.147;0.0
0.1475;0.0
0.148;0.0
0.1485;0.0
0.149;0.0
0.1495;0.0
0.15;0.0
0.1505;0.0
0.151;0.0
0.1515;0.0
0.152;0.0
0.1525;0.01
0.153;0.0
0.1535;0.0
0.154;0.0
0.1545;0.000973
0.155;0.0
0.1555;0.0
0.156;0.0
0.1565;0.0
0.157;0.0
0.1575;0.0
0.158;0.000477
0.1585;0.0
0.159;0.0
0.1595;0.01
0.16;0.0
0.1605;0.0
0.161;0.0
0.1615;0.0
0.162;0.0
0.1625;0.0
0.163;0.0
0.1635;0.0
0.164;0.0
0.1645;0.0
0.165;0.0
0.1655;0.0
0.166;0.0
0.1665;0.0
