Tid;Høyde
173.6;380.489
173.8;378.48
174.0;376.318
174.2;374.25500000000005
174.4;372.074
174.6;369.992
174.8;367.868
175.0;365.799
175.2;363.7070000000001
175.4;361.725
175.6;359.78400000000005
175.8;357.882
176.0;356.01399999999995
176.2;354.172
176.4;352.357
176.6;350.617
176.8;349.022
177.0;347.441
177.2;346.041
177.4;344.627
177.6;343.30300000000005
177.8;342.064
178.0;340.984
178.2;339.935
178.4;338.97600000000006
178.6;338.061
178.8;337.21700000000004
179.0;336.41299999999995
179.2;335.53799999999995
179.4;334.71700000000004
179.6;333.833
179.8;332.98999999999995
180.0;332.05400000000003
180.2;331.124
180.4;330.176
180.6;329.13500000000005
180.8;328.06300000000005
181.0;326.974
181.2;325.82
181.4;324.682
181.6;323.54
181.8;322.377
182.0;321.22
182.2;320.084
182.4;318.922
182.6;317.729
182.8;316.47600000000006
183.0;315.186
183.2;313.916
183.4;312.545
183.6;311.113
183.8;309.653
184.0;308.10200000000003
184.2;306.53400000000005
184.4;304.925
184.6;303.26399999999995
184.8;301.584
185.0;299.959
185.2;298.30800000000005
185.4;296.60100000000006
185.6;294.98100000000005
185.8;293.338
186.0;291.672
186.2;289.989
186.4;288.35200000000003
186.6;286.785
186.8;285.194
187.0;283.58200000000005
187.2;282.055
187.4;280.51000000000005
187.6;279.04900000000004
187.8;277.57700000000006
188.0;276.122
188.2;274.73999999999995
188.4;273.33700000000005
188.6;271.92800000000005
188.8;270.599
189.0;269.272
189.2;267.926
189.4;266.68699999999995
189.6;265.35600000000005
189.8;264.052
190.0;262.77500000000003
190.2;261.513
190.4;260.31800000000004
190.6;259.176
190.8;258.09600000000006
191.0;256.96200000000005
191.2;255.76000000000005
191.4;254.533
191.6;253.23200000000003
191.8;251.891
192.0;250.513
192.2;248.97600000000008
192.4;247.46200000000005
192.6;245.816
192.8;244.08
193.0;242.33
193.2;240.585
193.4;238.88100000000003
193.6;237.08
193.8;235.319
194.0;233.557
194.2;231.781
194.4;229.992
194.6;228.172
194.8;226.324
195.0;224.54
195.2;222.742
195.4;220.959
195.6;219.17
195.8;217.469
196.0;215.763
196.2;214.15900000000005
196.4;212.6
196.6;211.07800000000003
196.8;209.637
197.0;208.211
197.2;206.83200000000005
197.4;205.502
197.6;204.16000000000005
197.8;202.8940000000001
198.0;201.6200000000001
198.2;200.368
198.4;199.13100000000003
